hAPF,apoptosis,reintegrations,divisions,delaminations,cell number,pupa,geno
12,0,0,8,0,1200,p1,wt
12.08333333,0,0,4,0,1204,p1,wt
12.16666667,1,0,2,0,1205,p1,wt
12.25,0,0,2,0,1207,p1,wt
12.33333333,0,0,1,0,1208,p1,wt
12.41666667,0,0,1,0,1209,p1,wt
12.5,0,0,3,0,1212,p1,wt
12.58333333,0,0,2,0,1214,p1,wt
12.66666667,0,0,3,0,1217,p1,wt
12.75,0,0,2,0,1219,p1,wt
12.83333333,0,0,2,0,1221,p1,wt
12.91666667,0,0,2,0,1223,p1,wt
13,0,0,6,0,1229,p1,wt
13.08333333,1,0,4,0,1232,p1,wt
13.16666667,0,0,4,0,1236,p1,wt
13.25,0,0,3,0,1239,p1,wt
13.33333333,1,0,2,0,1240,p1,wt
13.41666667,0,0,3,0,1243,p1,wt
13.5,0,0,6,0,1249,p1,wt
13.58333333,0,0,1,0,1250,p1,wt
13.66666667,0,0,6,0,1256,p1,wt
13.75,0,0,5,0,1261,p1,wt
13.83333333,0,0,9,0,1270,p1,wt
13.91666667,0,0,13,0,1283,p1,wt
14,0,0,12,0,1295,p1,wt
14.08333333,0,0,21,0,1316,p1,wt
14.16666667,0,0,20,0,1336,p1,wt
14.25,1,0,23,0,1358,p1,wt
14.33333333,0,0,40,2,1398,p1,wt
14.41666667,0,0,57,0,1455,p1,wt
14.5,0,0,56,0,1511,p1,wt
14.58333333,0,0,43,0,1554,p1,wt
14.66666667,0,0,59,0,1613,p1,wt
14.75,0,0,54,0,1667,p1,wt
14.83333333,0,0,48,0,1715,p1,wt
14.91666667,0,0,46,0,1761,p1,wt
15,0,0,41,0,1802,p1,wt
15.08333333,0,0,32,0,1834,p1,wt
15.16666667,0,0,29,0,1863,p1,wt
15.25,0,0,38,0,1901,p1,wt
15.33333333,1,0,20,0,1920,p1,wt
15.41666667,0,0,26,0,1946,p1,wt
15.5,0,0,24,0,1970,p1,wt
15.58333333,0,0,27,0,1997,p1,wt
15.66666667,0,0,24,0,2021,p1,wt
15.75,0,0,15,0,2036,p1,wt
15.83333333,0,0,22,0,2058,p1,wt
15.91666667,0,0,18,0,2076,p1,wt
16,1,0,12,0,2087,p1,wt
16.08333333,0,0,21,0,2108,p1,wt
16.16666667,0,0,17,0,2125,p1,wt
16.25,1,0,8,0,2132,p1,wt
16.33333333,0,0,18,0,2150,p1,wt
16.41666667,0,0,20,0,2170,p1,wt
16.5,0,0,20,0,2190,p1,wt
16.58333333,0,0,23,0,2213,p1,wt
16.66666667,1,0,8,0,2220,p1,wt
16.75,0,0,12,0,2232,p1,wt
16.83333333,2,0,11,0,2241,p1,wt
16.91666667,1,1,13,0,2254,p1,wt
17,0,0,9,0,2263,p1,wt
